method,m,i,step,cost,time
random,1,2,212,36.48393249511719,4.937280893325806
random,1,2,213,36.481773376464844,4.937280893325806
random,1,2,214,37.212646484375,4.937280893325806
random,1,2,215,37.186622619628906,4.937280893325806
random,1,2,216,37.27544403076172,4.937280893325806
random,1,2,217,37.182716369628906,4.937280893325806
random,1,2,218,37.03916931152344,4.937280893325806
random,1,2,219,37.036842346191406,4.937280893325806
random,1,2,220,37.044891357421875,4.937280893325806
random,1,2,221,37.22789001464844,4.937280893325806
random,1,2,222,36.62506103515625,4.937280893325806
random,1,2,223,36.169105529785156,4.937280893325806
random,1,2,224,36.39873123168945,4.937280893325806
random,1,2,225,36.32845687866211,4.937280893325806
random,1,2,226,36.40248489379883,4.937280893325806
random,1,2,227,36.46315002441406,4.937280893325806
random,1,2,228,36.48193359375,4.937280893325806
random,1,2,229,36.64445877075195,4.937280893325806
random,1,2,230,36.99317169189453,4.937280893325806
random,1,2,231,37.088130950927734,4.937280893325806
random,1,2,232,37.30848693847656,4.937280893325806
random,1,2,233,37.28075408935547,4.937280893325806
random,1,2,234,37.29300308227539,4.937280893325806
random,1,2,235,37.29586410522461,4.937280893325806
random,1,2,236,37.14237594604492,4.937280893325806
random,1,2,237,37.3239631652832,4.937280893325806
random,1,2,238,37.14237594604492,4.937280893325806
random,1,2,239,37.21788024902344,4.937280893325806
random,1,2,240,36.75021743774414,4.937280893325806
random,1,2,241,36.627140045166016,4.937280893325806
random,1,2,242,36.50225067138672,4.937280893325806
random,1,2,243,36.50239181518555,4.937280893325806
random,1,2,244,36.603519439697266,4.937280893325806
random,1,2,245,36.6075553894043,4.937280893325806
random,1,2,246,36.51991653442383,4.937280893325806
random,1,2,247,36.962554931640625,4.937280893325806
random,1,2,248,36.86142349243164,4.937280893325806
random,1,2,249,36.860591888427734,4.937280893325806
random,1,2,250,36.93593978881836,4.937280893325806
random,1,2,251,36.83690643310547,4.937280893325806
random,1,2,252,36.47255325317383,4.937280893325806
random,1,2,253,36.04264831542969,4.937280893325806
random,1,2,254,36.125389099121094,4.937280893325806
random,1,2,255,36.11894989013672,4.937280893325806
random,1,2,256,36.13249588012695,4.937280893325806
random,1,2,257,36.846797943115234,4.937280893325806
random,1,2,258,37.05665969848633,4.937280893325806
random,1,2,259,36.871761322021484,4.937280893325806
random,1,2,260,36.81584167480469,4.937280893325806
random,1,2,261,36.72919845581055,4.937280893325806
random,1,2,262,36.919830322265625,4.937280893325806
random,1,2,263,36.032806396484375,4.937280893325806
random,1,2,264,36.0994873046875,4.937280893325806
random,1,2,265,35.569091796875,4.937280893325806
random,1,2,266,35.50967025756836,4.937280893325806
random,1,2,267,35.55548858642578,4.937280893325806
random,1,2,268,35.229591369628906,4.937280893325806
random,1,2,269,34.861480712890625,4.937280893325806
random,1,2,270,35.027610778808594,4.937280893325806
random,1,2,271,35.145965576171875,4.937280893325806
random,1,2,272,35.34309387207031,4.937280893325806
random,1,2,273,35.31397247314453,4.937280893325806
random,1,2,274,35.37407684326172,4.937280893325806
random,1,2,275,35.103004455566406,4.937280893325806
random,1,2,276,35.055641174316406,4.937280893325806
random,1,2,277,34.968502044677734,4.937280893325806
random,1,2,278,34.942237854003906,4.937280893325806
random,1,2,279,35.00699234008789,4.937280893325806
random,1,2,280,34.686214447021484,4.937280893325806
random,1,2,281,34.55807113647461,4.937280893325806
random,1,2,282,33.94832992553711,4.937280893325806
random,1,2,283,34.120670318603516,4.937280893325806
random,1,2,284,33.9918212890625,4.937280893325806
random,1,2,285,33.8127555847168,4.937280893325806
random,1,2,286,33.883392333984375,4.937280893325806
random,1,2,287,33.985206604003906,4.937280893325806
random,1,2,288,33.85364532470703,4.937280893325806
random,1,2,289,34.10894775390625,4.937280893325806
random,1,2,290,34.1418571472168,4.937280893325806
random,1,2,291,34.09779739379883,4.937280893325806
random,1,2,292,33.78228759765625,4.937280893325806
random,1,2,293,33.76605987548828,4.937280893325806
random,1,2,294,34.31356430053711,4.937280893325806
random,1,2,295,34.23123550415039,4.937280893325806
random,1,2,296,34.58349609375,4.937280893325806
random,1,2,297,34.532012939453125,4.937280893325806
random,1,2,298,34.85594177246094,4.937280893325806
random,1,2,299,34.533164978027344,4.937280893325806
random,1,2,300,34.75855255126953,4.937280893325806
random,1,2,301,34.77949523925781,4.937280893325806
random,1,2,302,35.00884246826172,4.937280893325806
random,1,2,303,35.408103942871094,4.937280893325806
random,1,2,304,35.43539047241211,4.937280893325806
random,1,2,305,35.170166015625,4.937280893325806
random,1,2,306,35.24953079223633,4.937280893325806
random,1,2,307,34.83794021606445,4.937280893325806
random,1,2,308,34.741127014160156,4.937280893325806
random,1,2,309,34.76541519165039,4.937280893325806
random,1,2,310,34.84209442138672,4.937280893325806
random,1,2,311,35.071537017822266,4.937280893325806
random,1,2,312,35.029075622558594,4.937280893325806
random,1,2,313,35.1171875,4.937280893325806
random,1,2,314,34.6370964050293,4.937280893325806
random,1,2,315,34.4730339050293,4.937280893325806
random,1,2,316,34.94450759887695,4.937280893325806
random,1,2,317,35.12345504760742,4.937280893325806
random,1,2,318,35.19866180419922,4.937280893325806
random,1,2,319,35.27236557006836,4.937280893325806
random,1,2,320,35.15226745605469,4.937280893325806
random,1,2,321,35.3089599609375,4.937280893325806
random,1,2,322,35.000511169433594,4.937280893325806
random,1,2,323,35.1590690612793,4.937280893325806
random,1,2,324,35.435791015625,4.937280893325806
random,1,2,325,35.220008850097656,4.937280893325806
random,1,2,326,35.34144973754883,4.937280893325806
